current mass in position 19,x_c,x_f
3.319,48.621,46
3.32,48.621,46
3.321,48.621,46
3.322,48.621,46
3.323,48.621,46
3.324,48.621,46
3.325,48.621,46
3.326,48.621,46
3.327,48.621,46
3.328,48.621,46
3.329,48.621,46
3.33,48.621,46
3.331,48.621,46
3.332,48.621,46
3.333,48.62,46
3.334,48.62,46
3.335,48.62,46
3.336,48.62,46
3.337,48.62,46
3.338,48.62,46
3.339,48.62,46
3.34,48.62,46
3.341,48.62,46
3.342,48.62,46
3.343,48.62,46
3.344,48.62,46
3.345,48.62,46
3.346,48.62,46
3.347,48.62,46
3.348,48.62,46
3.349,48.62,46
3.35,48.62,46
3.351,48.619,46
3.352,48.619,46
3.353,48.619,46
3.354,48.619,46
3.355,48.619,46
3.356,48.619,46
3.357,48.619,46
3.358,48.619,46
3.359,48.619,46
3.36,48.619,46
3.361,48.619,46
3.362,48.619,46
3.363,48.619,46
3.364,48.619,46
3.365,48.619,46
3.366,48.619,46
3.367,48.619,46
3.368,48.619,46
3.369,48.618,46
3.37,48.618,46
3.371,48.618,46
3.372,48.618,46
3.373,48.618,46
3.374,48.618,46
3.375,48.618,46
3.376,48.618,46
3.377,48.618,46
3.378,48.618,46
3.379,48.618,46
3.38,48.618,46
3.381,48.618,46
3.382,48.618,46
3.383,48.618,46
3.384,48.618,46
3.385,48.618,46
3.386,48.617,46
3.387,48.617,46
3.388,48.617,46
3.389,48.617,46
3.39,48.617,46
3.391,48.617,46
3.392,48.617,46
3.393,48.617,46
3.394,48.617,46
3.395,48.617,46
3.396,48.617,46
3.397,48.617,46
3.398,48.617,46
3.399,48.617,46
3.4,48.617,46
3.401,48.617,46
3.402,48.617,46
3.403,48.617,46
3.404,48.616,46
3.405,48.616,46
3.406,48.616,46
3.407,48.616,46
3.408,48.616,46
3.409,48.616,46
3.41,48.616,46
3.411,48.616,46
3.412,48.616,46
3.413,48.616,46
3.414,48.616,46
3.415,48.616,46
3.416,48.616,46
3.417,48.616,46
3.418,48.616,46
3.419,48.616,46
3.42,48.616,46
3.421,48.616,46
3.422,48.615,46
3.423,48.615,46
3.424,48.615,46
3.425,48.615,46
3.426,48.615,46
3.427,48.615,46
3.428,48.615,46
3.429,48.615,46
3.43,48.615,46
3.431,48.615,46
3.432,48.615,46
3.433,48.615,46
3.434,48.615,46
3.435,48.615,46
3.436,48.615,46
3.437,48.615,46
3.438,48.615,46
3.439,48.615,46
3.44,48.614,46
3.441,48.614,46
3.442,48.614,46
3.443,48.614,46
3.444,48.614,46
3.445,48.614,46
3.446,48.614,46
3.447,48.614,46
3.448,48.614,46
3.449,48.614,46
3.45,48.614,46
3.451,48.614,46
3.452,48.614,46
3.453,48.614,46
3.454,48.614,46
3.455,48.614,46
3.456,48.614,46
3.457,48.613,46
3.458,48.613,46
3.459,48.613,46
3.46,48.613,46
3.461,48.613,46
3.462,48.613,46
3.463,48.613,46
3.464,48.613,46
3.465,48.613,46
3.466,48.613,46
3.467,48.613,46
3.468,48.613,46
3.469,48.613,46
3.47,48.613,46
3.471,48.613,46
3.472,48.613,46
3.473,48.613,46
3.474,48.613,46
3.475,48.612,46
3.476,48.612,46
3.477,48.612,46
3.478,48.612,46
3.479,48.612,46
3.48,48.612,46
3.481,48.612,46
3.482,48.612,46
3.483,48.612,46
3.484,48.612,46
3.485,48.612,46
3.486,48.612,46
3.487,48.612,46
3.488,48.612,46
